ID, STARTLOCATION,STARTREGION,AGGREGATEDTYPE,MONEYEARNED,DISTANCE,startDayOfWeek,CHARITYNAME,EMISSIONSSAVED,STARTTIME
4167,"Bradford","England","Run","0.19",4,"THURSDAY","Die Arche",396.1058662763077,13
811,"Nottingham","England","Run","0.01",0,"SATURDAY","Viva con Agua",29.193506532988557,8
10764,"City of London","England","Bike","0.23",5,"THURSDAY","Viva con Agua",504.2402747727225,18
4170,"Bradford","England","Run","0.17",4,"WEDNESDAY","Tafel Deutschland",376.2367973115725,16
10774,"City of London","England","Run","0.27",5,"THURSDAY","Viva con Agua",576.007571775084,17
817,"City of London","England","Run","0.67",13,"SATURDAY","Viva con Agua",1407.5025130968227,14
4171,"Bradford","England","Run","0.17",4,"WEDNESDAY","Die Arche",381.38047083803684,16
10785,"Sheffield","England","Bike","0.23",5,"THURSDAY","Viva con Agua",496.81012810180755,9
852,"Oxford","England","Run","0.02",0,"SUNDAY","Viva con Agua",36.96233417781569,17
4208,"Manchester","England","Run","0.19",4,"SATURDAY","Tafel Deutschland",392.0258333304781,15
10800,"Sunderland","England","Bike","0.25",5,"FRIDAY","Viva con Agua",528.2877272337707,7
856,"Salisbury","England","Run","0.02",0,"TUESDAY","Viva con Agua",31.739416891209842,15
4211,"Manchester","England","Run","0.20",4,"WEDNESDAY","Tafel Deutschland",440.01683574274176,16
10808,"Coventry","England","Run","0.23",5,"FRIDAY","Viva con Agua",486.4848412542738,16
924,"Wolverhampton","England","Run","0.01",0,"THURSDAY","Viva con Agua",25.62199623306756,14
4217,"Bath","England","Run","0.17",4,"SATURDAY","Tafel Deutschland",384.61625096484147,13
10810,"Leeds","England","Run","0.26",5,"SATURDAY","Viva con Agua",551.7860354863933,8
954,"Bradford","England","Run","0.01",0,"THURSDAY","Viva con Agua",26.728868323027562,22
61,"Leeds","England","Run","0.14",3,"SUNDAY","Viva con Agua",292.6092126582048,5
4218,"Bath","England","Run","0.20",4,"WEDNESDAY","Die Arche",439.6783746354359,18
10851,"Leeds","England","Run","0.25",5,"FRIDAY","Viva con Agua",526.9898674253328,16
983,"Bradford","England","Run","0.01",0,"MONDAY","Viva con Agua",29.288782147591313,21
4219,"Bath","England","Run","0.20",4,"THURSDAY","Tafel Deutschland",430.80485460912524,17
10858,"Birmingham","England","Run","0.27",5,"TUESDAY","Viva con Agua",570.0902912785223,16
1008,"Kingston upon Hull","England","Run","0.02",0,"SUNDAY","Viva con Agua",36.18503184873307,18
87,"Portsmouth","England","Run","0.17",3,"WEDNESDAY","Viva con Agua",360.9743996499993,8
4222,"Bath","England","Run","0.20",4,"MONDAY","Tafel Deutschland",424.2866474490142,17
10868,"Birmingham","England","Bike","0.23",5,"SUNDAY","Viva con Agua",506.2191801372731,16
1025,"St. Albans","England","Run","0.02",0,"SUNDAY","Viva con Agua",43.44918656157151,12
97,"Bristol","England","Run","0.16",3,"FRIDAY","Viva con Agua",344.42865775176966,7
4224,"Bath","England","Run","0.17",4,"WEDNESDAY","Die Arche",385.03194038844794,16
10870,"Birmingham","England","Run","0.26",5,"MONDAY","Viva con Agua",550.2747158032472,17
1043,"Sheffield","England","Run","0.02",0,"MONDAY","Viva con Agua",36.1350301333603,14
98,"Portsmouth","England","Run","0.16",3,"FRIDAY","Viva con Agua",335.7346037472821,8
10879,"Wolverhampton","England","Bike","0.25",5,"SUNDAY","Viva con Agua",534.0092385640003,20
4225,"Bath","England","Run","0.20",4,"FRIDAY","Tafel Deutschland",424.05747778248605,15
1044,"Sheffield","England","Run","0.02",0,"MONDAY","Viva con Agua",47.92063163498534,14
101,"Birmingham","England","Run","0.14",3,"FRIDAY","Viva con Agua",295.5256497475237,18
10885,"Birmingham","England","Run","0.26",5,"THURSDAY","Die Arche",535.7914696931444,8
4231,"Birmingham","England","Run","0.17",4,"THURSDAY","Tafel Deutschland",382.7278003218235,16
1063,"Leicester","England","Run","0.65",13,"TUESDAY","Viva con Agua",1375.3611537674278,15
10889,"Oxford","England","Bike","0.25",5,"THURSDAY","Die Arche",528.0684312622514,15
108,"Southampton","England","Run","0.17",3,"SATURDAY","Viva con Agua",360.16798398445513,9
1135,"Coventry","England","Run","0.02",0,"SATURDAY","Viva con Agua",37.03259391001602,13
4233,"Birmingham","England","Run","0.20",4,"FRIDAY","Tafel Deutschland",417.43686051068715,14
119,"Portsmouth","England","Run","0.16",3,"MONDAY","Viva con Agua",336.0682060066114,8
10891,"Portsmouth","England","Run","0.23",5,"THURSDAY","Viva con Agua",489.91282890912856,19
1328,"Nottingham","England","Run","0.01",0,"FRIDAY","Viva con Agua",31.491155241998094,16
4268,"Wolverhampton","England","Run","0.20",4,"MONDAY","Die Arche",441.7192343145703,18
10894,"Cambridge","England","Run","0.23",5,"FRIDAY","Die Arche",499.6171051824202,5
134,"City of London","England","Run","0.16",3,"THURSDAY","Viva con Agua",333.99233079039305,17
1414,"Bradford","England","Run","0.02",0,"TUESDAY","Viva con Agua",47.23089074682773,7
4283,"City of London","England","Run","0.17",4,"THURSDAY","Die Arche",370.9516371427559,18
8969,"City of London","England","Bike","0.93",19,"MONDAY",,1976.7105053173325,9
10900,"Bradford","England","Bike","0.23",5,"FRIDAY","Tafel Deutschland",508.17240421350505,14
149,"Portsmouth","England","Run","0.14",3,"MONDAY","Viva con Agua",284.59534714750924,8
1415,"Bradford","England","Run","0.02",0,"TUESDAY","Viva con Agua",51.259620545138084,7
4287,"Coventry","England","Run","0.19",4,"THURSDAY","Tafel Deutschland",389.1076566674632,11
10907,"Cambridge","England","Run","0.23",5,"SUNDAY","Die Arche",482.94636299939094,11
160,"Liverpool","England","Run","0.14",3,"WEDNESDAY","Viva con Agua",288.00180288006237,8
1519,"Wolverhampton","England","Run","0.02",0,"TUESDAY","Viva con Agua",35.1297542587168,10
12386,"Stirling","Scotland","Run","0.35",4,"SUNDAY","Deutsche Sporthilfe",374.79649033306475,6
4290,"Bradford","England","Run","0.20",4,"MONDAY","Tafel Deutschland",450.9920017786015,18
10910,"Leicester","England","Bike","0.23",5,"MONDAY","Die Arche",488.0580993178124,12
9047,"Leicester","England","Bike","1.32",26,"THURSDAY","Die Arche",2774.3432357287843,11
165,"Leeds","England","Run","0.16",3,"FRIDAY","Viva con Agua",337.6490852748031,13
1520,"Wolverhampton","England","Run","0.02",0,"FRIDAY","Viva con Agua",35.9487145642962,7
10948,"Salisbury","England","Run","0.26",5,"SUNDAY","Viva con Agua",537.9541042171446,16
4312,"Bradford","England","Run","0.20",4,"WEDNESDAY","Tafel Deutschland",415.2891330670353,16
171,"Leeds","England","Run","0.17",3,"SUNDAY","Viva con Agua",351.0498875209372,14
9103,"Wolverhampton","England","Bike","1.16",23,"MONDAY",,2458.5045322280275,13
1541,"Bradford","England","Run","0.02",0,"FRIDAY","Viva con Agua",32.44118664850902,16
12394,"Glasgow","Scotland","Run","0.46",4,"SUNDAY","Deutsche Sporthilfe",406.0927178299981,8
10953,"Preston","England","Run","0.23",5,"WEDNESDAY","Viva con Agua",473.15462005235264,14
4316,"Wolverhampton","England","Run","0.20",4,"WEDNESDAY","Die Arche",437.32054394013636,16
183,"Leeds","England","Run","0.13",3,"FRIDAY","Viva con Agua",264.28466155131474,5
1549,"Nottingham","England","Run","0.02",0,"THURSDAY","Viva con Agua",51.67545565825219,10
9123,"Liverpool","England","Bike","1.18",24,"FRIDAY","Viva con Agua",2490.3565784663733,18
10955,"Sheffield","England","Run","0.27",5,"SATURDAY","Tafel Deutschland",564.3789975835712,15
4322,"City of London","England","Run","0.20",4,"FRIDAY","Die Arche",439.442517485833,14
188,"Leeds","England","Run","0.16",3,"SATURDAY","Viva con Agua",330.4413274182025,5
1551,"Nottingham","England","Run","0.02",0,"FRIDAY","Viva con Agua",44.57796492584795,17
12428,"Newry","North Ireland","Run","0.39",4,"SUNDAY","Deutsche Sporthilfe",406.23182651795304,17
10993,"Lincoln","England","Run","0.26",5,"SUNDAY","Tafel Deutschland",555.5270188261865,12
4324,"Cambridge","England","Run","0.20",4,"THURSDAY","Tafel Deutschland",440.48376517326994,12
9133,"Ely","England","Bike","3.37",68,"WEDNESDAY","Viva con Agua",7100.939773345846,13
190,"City of London","England","Run","0.17",3,"SUNDAY","Viva con Agua",356.89847360587237,18
1579,"Newcastle upon Tyne","England","Run","0.02",0,"TUESDAY","Tafel Deutschland",40.455781391490916,17
11031,"Coventry","England","Bike","0.23",5,"SUNDAY","Die Arche",484.9367379644589,23
4337,"Bradford","England","Run","0.19",4,"THURSDAY","Tafel Deutschland",393.8834786311566,16
12519,"Glasgow","Scotland","Run","0.23",4,"MONDAY","Viva con Agua",395.5721353090586,14
1580,"Newcastle upon Tyne","England","Run","0.01",0,"TUESDAY","Viva con Agua",15.682091508722849,18
9139,"Birmingham","England","Bike","1.34",27,"MONDAY","Viva con Agua",2809.5146352668526,5
11057,"Birmingham","England","Run","0.26",5,"SATURDAY","Viva con Agua",546.4025359565089,7
191,"Kingston upon Hull","England","Run","0.13",3,"MONDAY","Viva con Agua",271.5680058084125,4
4368,"Gloucester","England","Run","0.20",4,"SUNDAY","Die Arche",444.9735995455941,11
1584,"Coventry","England","Run","0.02",0,"MONDAY","Viva con Agua",46.581338396573265,6
11136,"Exeter","England","Run","0.23",5,"THURSDAY","Tafel Deutschland",485.12699931823596,16
12520,"Glasgow","Scotland","Run","0.28",5,"WEDNESDAY","Viva con Agua",496.1181369966479,16
4378,"Portsmouth","England","Run","0.17",4,"TUESDAY","Tafel Deutschland",377.6829556045422,8
196,"Portsmouth","England","Run","0.14",3,"WEDNESDAY","Viva con Agua",285.270971132274,8
9145,"Westminster","England","Bike","1.22",25,"WEDNESDAY","Viva con Agua",2578.5485433705785,12
1614,"Bradford","England","Run","0.01",0,"THURSDAY","Tafel Deutschland",29.15114856655266,21
11153,"Durham","England","Bike","0.26",5,"TUESDAY","Viva con Agua",545.5958782190498,18
4382,"Leeds","England","Run","0.19",4,"TUESDAY","Tafel Deutschland",405.5645441140047,10
203,"Leeds","England","Run","0.16",3,"SUNDAY","Viva con Agua",335.16506610145836,5
1630,"Bradford","England","Run","0.01",0,"MONDAY","Tafel Deutschland",30.1726320166064,13
11158,"Salisbury","England","Run","0.26",5,"TUESDAY","Tafel Deutschland",547.3067680408332,16
12545,"Glasgow","Scotland","Run","0.23",4,"MONDAY","Viva con Agua",427.67389503387614,15
9166,"Birmingham","England","Bike","0.84",17,"THURSDAY","Viva con Agua",1784.0180687025531,12
4389,"Sheffield","England","Run","0.17",4,"TUESDAY","Tafel Deutschland",373.5316223440071,17
225,"Sheffield","England","Run","0.14",3,"THURSDAY","Viva con Agua",315.0941667373109,5
11219,"Chichester","England","Run","0.25",5,"SUNDAY","Die Arche",534.9423416638833,12
1782,"Kingston upon Hull","England","Run","0.01",0,"WEDNESDAY","Viva con Agua",20.980550473951084,17
4447,"City of London","England","Run","0.20",4,"THURSDAY",,412.5876859485007,17
12559,"Cardiff","Wales","Bike","0.29",5,"FRIDAY","Tafel Deutschland",518.1358555177717,15
242,"Bristol","England","Run","0.16",3,"WEDNESDAY","Viva con Agua",328.1283254007085,7
11234,"Exeter","England","Run","0.26",5,"WEDNESDAY","Die Arche",555.2575955553812,14
9280,"Newcastle upon Tyne","England","Bike","1.06",21,"FRIDAY","Viva con Agua",2215.9599358907285,18
1868,"Manchester","England","Run","0.02",0,"SUNDAY","Viva con Agua",40.50644311233685,6
4448,"City of London","England","Run","0.22",4,"THURSDAY","Die Arche",463.85961495215025,18
11268,"Bradford","England","Bike","0.23",5,"FRIDAY","Die Arche",512.3060705918497,9
251,"Birmingham","England","Run","0.17",3,"MONDAY","Viva con Agua",362.1255753557437,4
12560,"Glasgow","Scotland","Run","0.30",5,"FRIDAY","Tafel Deutschland",534.8724480948881,15
1920,"Birmingham","England","Run","0.01",0,"SUNDAY","Tafel Deutschland",30.61835148814343,9
4452,"City of London","England","Run","0.22",4,"TUESDAY","Die Arche",461.53504171830224,11
9283,"Newcastle upon Tyne","England","Bike","1.06",21,"MONDAY","Tafel Deutschland",2225.9699110976017,6
11273,"Leeds","England","Run","0.27",5,"THURSDAY","Viva con Agua",569.444767373009,14
269,"Birmingham","England","Run","0.13",3,"MONDAY","Viva con Agua",266.186779066887,7
1925,"Lichfield","England","Run","0.02",0,"TUESDAY","Viva con Agua",48.168780777406674,11
4463,"Worcester","England","Run","0.19",4,"SUNDAY",,402.2771449143045,16
12580,"Glasgow","Scotland","Run","0.28",5,"WEDNESDAY","Die Arche",485.13406464761977,16
11274,"Leeds","England","Run","0.26",5,"SATURDAY","Tafel Deutschland",551.6958115483283,7
275,"Salisbury","England","Run","0.16",3,"SATURDAY","Viva con Agua",332.18871794621845,7
9308,"Leicester","England","Bike","1.02",20,"SUNDAY","Viva con Agua",2151.6997418467645,6
1931,"Worcester","England","Run","0.01",0,"TUESDAY","Viva con Agua",18.68102577256141,17
4476,"City of London","England","Run","0.17",4,"SUNDAY","Tafel Deutschland",388.2284617449325,19
11275,"Leeds","England","Run","0.27",5,"TUESDAY","Tafel Deutschland",561.5245705123514,15
285,"Leeds","England","Run","0.17",3,"THURSDAY","Viva con Agua",351.52727677707645,17
1960,"Liverpool","England","Run","0.02",0,"MONDAY","Viva con Agua",49.81840582199215,16
4485,"Oxford","England","Run","0.19",4,"THURSDAY","Tafel Deutschland",406.599932890542,9
12585,"Aberdeen","Scotland","Run","0.32",5,"THURSDAY","Tafel Deutschland",567.3078016727412,15
11276,"Leeds","England","Run","0.25",5,"MONDAY","Tafel Deutschland",522.1786203197772,15
288,"Leeds","England","Run","0.14",3,"FRIDAY","Viva con Agua",308.13592181901373,18
2061,"Canterbury","England","Run","0.02",0,"TUESDAY","Viva con Agua",33.24962994225678,15
4492,"Nottingham","England","Run","0.17",4,"THURSDAY","Tafel Deutschland",383.68519727961217,15
11277,"Leeds","England","Run","0.27",5,"TUESDAY","Tafel Deutschland",557.7135719971191,16
2085,"Sheffield","England","Run","0.02",0,"FRIDAY","Die Arche",43.41380362686153,10
319,"City of London","England","Run","0.16",3,"THURSDAY","Viva con Agua",345.3424415737628,17
12605,"St. Davids","Wales","Run","0.23",4,"THURSDAY","Viva con Agua",420.07604606169707,12
4501,"Birmingham","England","Run","0.20",4,"THURSDAY","Die Arche",424.31324960180893,17
11304,"Sunderland","England","Run","0.27",5,"SATURDAY","Die Arche",559.2432996688423,17
2086,"Sheffield","England","Run","0.02",0,"FRIDAY","Viva con Agua",48.75676048468355,9
339,"Kingston upon Hull","England","Run","0.14",3,"SATURDAY","Viva con Agua",283.59180359268726,8
4532,"Bradford","England","Run","0.19",4,"SATURDAY","Tafel Deutschland",401.94570940454054,16
11310,"Sunderland","England","Run","0.26",5,"TUESDAY","Tafel Deutschland",555.8084209969346,15
12608,"Glasgow","Scotland","Run","0.29",5,"THURSDAY","Die Arche",524.3713857372738,17
2087,"Sheffield","England","Run","0.02",0,"WEDNESDAY","Viva con Agua",42.36991184730173,13
347,"Leicester","England","Run","0.13",3,"MONDAY","Viva con Agua",270.5738226825055,8
4540,"Birmingham","England","Run","0.19",4,"SUNDAY","Die Arche",407.03584646293257,17
11311,"Sunderland","England","Run","0.26",5,"THURSDAY","Tafel Deutschland",555.249571447583,18
2101,"Leeds","England","Run","0.02",0,"MONDAY","Die Arche",49.73191330373016,12
349,"Leicester","England","Run","0.13",3,"MONDAY","Viva con Agua",266.818139576026,5
4567,"Liverpool","England","Run","0.22",4,"WEDNESDAY","Die Arche",468.7609708592084,15
12616,"Aberdeen","Scotland","Run","0.23",4,"SUNDAY","Tafel Deutschland",422.167886659931,10
11335,"Bradford","England","Run","0.25",5,"THURSDAY","Viva con Agua",514.6119900293521,11
2118,"Wolverhampton","England","Run","0.02",0,"TUESDAY","Die Arche",38.637219219686415,14
366,"Chester","England","Run","0.16",3,"MONDAY","Viva con Agua",345.89348983678764,8
4568,"Birmingham","England","Run","0.22",4,"FRIDAY","Tafel Deutschland",453.9845427308599,17
11338,"Bradford","England","Run","0.23",5,"SUNDAY","Die Arche",505.43133715364263,16
2146,"Leeds","England","Run","0.02",0,"SATURDAY","Tafel Deutschland",36.527029091459426,6
12628,"Glasgow","Scotland","Run","0.29",5,"TUESDAY","Die Arche",529.010836202379,19
382,"Chester","England","Run","0.16",3,"MONDAY","Viva con Agua",335.4336481980392,5
4573,"Nottingham","England","Run","0.19",4,"SUNDAY","Tafel Deutschland",403.10216863935614,18
11339,"Bradford","England","Run","0.23",5,"THURSDAY","Die Arche",502.0329781355794,12
2147,"Leeds","England","Run","0.01",0,"SATURDAY","Tafel Deutschland",27.38551083247139,6
383,"Chester","England","Run","0.17",3,"WEDNESDAY","Viva con Agua",355.6487664178495,5
4579,"Nottingham","England","Run","0.19",4,"THURSDAY","Tafel Deutschland",409.2006441400436,5
12689,"Glasgow","Scotland","Run","0.27",5,"SATURDAY","Die Arche",477.59442586972403,4
2148,"Nottingham","England","Run","0.02",0,"SATURDAY","Tafel Deutschland",34.03034395607478,6
11343,"Birmingham","England","Run","0.27",5,"FRIDAY","Viva con Agua",576.032856197576,14
384,"Chester","England","Run","0.17",3,"SATURDAY","Viva con Agua",352.38647475337854,7
17337,"City of London","England","Run","0.34",7,"SATURDAY","Viva con Agua",743.253,15
4580,"Coventry","England","Run","0.20",4,"FRIDAY","Die Arche",442.7681735598584,16
2232,"Nottingham","England","Run","0.02",0,"WEDNESDAY","Tafel Deutschland",40.02335406834377,8
11346,"Derby","England","Run","0.27",5,"SATURDAY","Die Arche",564.4212868130749,17
12691,"Glasgow","Scotland","Run","0.25",4,"TUESDAY","Die Arche",434.0426108615568,4
385,"Leeds","England","Run","0.14",3,"MONDAY","Viva con Agua",320.0906545394909,14
4592,"Nottingham","England","Run","0.22",4,"TUESDAY","Tafel Deutschland",470.3413666431502,16
2311,"Coventry","England","Run","0.72",15,"SATURDAY","Die Arche",1525.707696319027,10
11349,"Birmingham","England","Bike","0.23",5,"THURSDAY","Tafel Deutschland",490.92663765788484,16
428,"Coventry","England","Run","0.13",3,"SATURDAY","Viva con Agua",282.2711316937343,10
4611,"Brighton and Hove","England","Run","0.20",4,"SUNDAY","Tafel Deutschland",445.6665637888467,17
12726,"Belfast","North Ireland","Run","0.28",5,"MONDAY","Tafel Deutschland",507.4716045855589,16
2316,"Bradford","England","Run","0.01",0,"MONDAY","Tafel Deutschland",12.960892120235078,10
17398,"Brighton and Hove","England","Run","0.36",7,"FRIDAY","Die Arche",769.1145,16
11351,"Birmingham","England","Run","0.23",5,"FRIDAY","Tafel Deutschland",478.2645906253246,16
430,"Birmingham","England","Run","0.14",3,"MONDAY","Viva con Agua",285.49608948194816,9
4613,"Brighton and Hove","England","Run","0.20",4,"TUESDAY","Tafel Deutschland",416.9290994759899,12
2536,"Truro","England","Run","0.02",0,"FRIDAY","Die Arche",35.47456567713352,5
11356,"Wolverhampton","England","Run","0.27",5,"FRIDAY","Viva con Agua",567.9483092768147,17
12735,"Dundee","Scotland","Run","0.25",4,"MONDAY","Viva con Agua",429.054085751615,14
433,"Birmingham","England","Run","0.17",3,"WEDNESDAY","Viva con Agua",359.7147312631183,9
4620,"Brighton and Hove","England","Run","0.19",4,"MONDAY","Tafel Deutschland",409.0171877677866,15
17430,"City of London","England","Run","0.40",8,"THURSDAY","Viva con Agua",841.68,16
2727,"Oxford","England","Run","0.02",0,"FRIDAY","Die Arche",43.211007502500195,5
11372,"Chichester","England","Run","0.25",5,"TUESDAY","Viva con Agua",530.6161065110884,15
436,"Birmingham","England","Run","0.17",3,"WEDNESDAY","Viva con Agua",362.13202254306407,9
4622,"Bradford","England","Run","0.17",4,"THURSDAY","Tafel Deutschland",375.13463113200066,7
2773,"Sheffield","England","Run","0.02",0,"THURSDAY","Die Arche",32.70645787480444,10
11373,"Chichester","England","Run","0.23",5,"THURSDAY","Viva con Agua",488.81831277897544,16
12806,"Stirling","Scotland","Run","0.26",4,"SATURDAY","Viva con Agua",449.0549190410946,7
438,"Birmingham","England","Run","0.16",3,"WEDNESDAY","Viva con Agua",344.1248139826488,9
17433,"City of London","England","Run","0.35",7,"WEDNESDAY","Viva con Agua",756.9975,16
2774,"Sheffield","England","Run","0.02",0,"THURSDAY","Die Arche",37.90994817750924,9
4671,"Wakefield","England","Run","0.19",4,"THURSDAY","Tafel Deutschland",395.4394063115114,16
11374,"Chichester","England","Run","0.25",5,"SUNDAY","Viva con Agua",531.9071034361532,14
12811,"Stirling","Scotland","Run","0.22",4,"SATURDAY","Viva con Agua",383.68198794671883,7
2775,"Sheffield","England","Run","0.02",0,"MONDAY","Die Arche",43.95121109566896,10
441,"Wolverhampton","England","Run","0.14",3,"SATURDAY","Viva con Agua",303.00102532867993,9
11375,"Chichester","England","Run","0.26",5,"FRIDAY","Die Arche",539.3248545251109,16
17478,"Coventry","England","Run","0.38",8,"MONDAY","Viva con Agua",803.985,17
2805,"Leeds","England","Run","0.02",0,"MONDAY",,42.89672248231804,6
11412,"Manchester","England","Run","0.26",5,"TUESDAY",,555.5044496455772,16
443,"Wolverhampton","England","Run","0.17",3,"WEDNESDAY","Viva con Agua",357.11623125122946,7
12819,"Stirling","Scotland","Bike","0.22",4,"THURSDAY",,376.8745709860157,16
4675,"Wakefield","England","Run","0.20",4,"WEDNESDAY","Tafel Deutschland",415.20525159488597,15
11444,"Westminster","England","Bike","0.23",5,"SATURDAY",,495.41788528715483,23
2811,"Leeds","England","Run","0.02",0,"MONDAY","Die Arche",40.85127571440228,12
444,"Nottingham","England","Run","0.17",3,"MONDAY","Viva con Agua",352.3382885983829,10
17495,"Leeds","England","Run","0.36",7,"THURSDAY","Die Arche",780.7275,17
11446,"Bradford","England","Run","0.23",5,"SUNDAY","Die Arche",498.4021699336699,13
12824,"Dundee","Scotland","Run","0.33",5,"TUESDAY","Die Arche",572.9296794280708,14
4686,"Lancaster","England","Run","0.20",4,"TUESDAY","Die Arche",446.7256275716764,6
2828,"Birmingham","England","Run","0.02",0,"FRIDAY","Tafel Deutschland",50.94946795155715,6
455,"Gloucester","England","Run","0.16",3,"MONDAY","Viva con Agua",334.30499922138745,10
17496,"Leeds","England","Run","0.36",7,"FRIDAY","Die Arche",775.593,15
11466,"Manchester","England","Run","0.27",5,"TUESDAY","Viva con Agua",558.7131620938155,16
2847,"Leeds","England","Run","0.02",0,"SATURDAY","Die Arche",47.32056412236106,10
4687,"Lancaster","England","Run","0.20",4,"THURSDAY","Tafel Deutschland",419.16934262025666,18
459,"Plymouth","England","Run","0.14",3,"WEDNESDAY","Viva con Agua",286.8013201328773,5
12831,"Londonderry","North Ireland","Run","0.32",5,"SATURDAY","Viva con Agua",560.450780217797,16
11474,"Bradford","England","Run","0.23",5,"WEDNESDAY","Die Arche",494.71405214548594,17
2850,"Oxford","England","Run","0.02",0,"SUNDAY","Tafel Deutschland",50.869462707781686,10
4710,"Wolverhampton","England","Run","0.20",4,"SUNDAY","Die Arche",436.4164858497766,19
480,"Birmingham","England","Run","0.17",3,"SATURDAY","Viva con Agua",351.56664121470726,17
17497,"Bradford","England","Bike","0.40",8,"THURSDAY","Viva con Agua",853.503,17
11479,"Bradford","England","Run","0.25",5,"THURSDAY","Die Arche",526.2965550241455,16
2867,"Sheffield","England","Run","0.01",0,"THURSDAY","Die Arche",0,10
12867,"Edinburgh","Scotland","Bike","0.22",4,"MONDAY","Die Arche",389.9526514191026,6
4744,"Bradford","England","Run","0.20",4,"WEDNESDAY","Tafel Deutschland",439.4850600417016,15
486,"Birmingham","England","Run","0.17",3,"WEDNESDAY","Viva con Agua",363.68866355305323,17
2868,"Birmingham","England","Run","0.02",0,"FRIDAY","Tafel Deutschland",0,7
11500,"Westminster","England","Bike","0.23",5,"THURSDAY","Viva con Agua",483.99419806912226,14
4745,"Bradford","England","Run","0.20",4,"WEDNESDAY","Tafel Deutschland",424.06620094331925,15
487,"Carlisle","England","Run","0.16",3,"MONDAY","Viva con Agua",343.6082192862569,7
17498,"Bradford","England","Bike","0.41",8,"TUESDAY","Viva con Agua",877.7685000000001,17
12873,"Aberdeen","Scotland","Run","0.28",5,"WEDNESDAY","Tafel Deutschland",500.6855017632818,16
11523,"Leicester","England","Bike","0.23",5,"WEDNESDAY","Tafel Deutschland",474.6530111254266,21
2909,"Nottingham","England","Run","0.02",0,"WEDNESDAY","Tafel Deutschland",46.91654146931661,8
4747,"Bradford","England","Run","0.22",4,"TUESDAY","Tafel Deutschland",454.1750586033159,15
494,"Leeds","England","Run","0.14",3,"TUESDAY","Viva con Agua",308.80238436461093,18
11527,"Birmingham","England","Run","0.27",5,"WEDNESDAY","Die Arche",564.3443344281809,16
2955,"Oxford","England","Run","0.01",0,"WEDNESDAY","Die Arche",30.27608886331025,4
4750,"Plymouth","England","Run","0.17",4,"FRIDAY","Die Arche",368.44433181749963,16
